OTUID,kingdom,phylum,class,order,family,genus,species,confidence
OTU_336,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,,1
OTU_885,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,5-7N15,,1
OTU_334,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,,,,1
OTU_335,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,Candidatus Rhabdochlamydia,,1
OTU_888,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,0.98
OTU_889,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16,,,1
OTU_338,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,,1
OTU_339,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinomycetospora,,1
OTU_2613,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,,1
OTU_2610,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16,,,1
OTU_3268,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,,0.99
OTU_652,Bacteria,,,,,,,0.91
